State;Population
Punjab;27704236
Haryana;25353081
Rajasthan;68621012
Delhi;16753235
UP;199581477
Uttarakhand;10116752
HP;6856509
J&K;12258433
Chandigarh;1054686
Chhattisgarh;25540196
Gujarat;60383628
MP;72597565
Maharashtra;112372972
Goa;1457723
DNH;585764
Andhra Pradesh;49665633
Telangana;35286757
Karnataka;61130704
Kerala;33387677
Tamil Nadu;72138958
Pondy;1244464
Bihar;103804637
Jharkhand;32966238
Odisha;41947358
West Bengal;91347736
Sikkim;607688
Arunachal Pradesh;1382611
Assam;31169272
Manipur;2721756
Meghalaya;2964007
Mizoram;1091014
Nagaland;1980602
Tripura;3671032
